0,6.6573,6.5012,7.1534,7.323,7.3018,6.6079,7.5034,7.2082,6.9321,7.616,6.6675,6.7712,7.3026,7.0939,7.8662,7.4808,7.6211,7.7782,7.87,7.4994,7.5089,7.6546,6.848,6.7216,6.7944,7.597,7.8997
20,5.8765,5.9542,6.6347,6.8846,6.5185,5.9296,7.1358,6.7722,6.2968,7.2394,6.2215,5.9553,6.6796,6.4765,7.1492,6.8886,7.1885,7.4018,7.3963,6.8915,7.1265,7.1394,6.285,6.3482,6.2933,7.1498,7.269
40,5.1799,5.4697,6.1804,6.4804,5.8237,5.3258,6.8007,6.3813,5.739,6.8996,5.8207,5.2094,6.1303,5.9278,6.4863,6.3484,6.7996,7.0663,6.978,6.3449,6.7739,6.6699,5.7694,6.0112,5.8584,6.7521,6.707
60,4.528,5.0118,5.7552,6.0966,5.1775,4.7559,6.4827,6.012,5.2128,6.579,5.4417,4.5024,5.6156,5.4075,5.8525,5.8318,6.4316,6.7498,6.5823,5.8249,6.4387,6.2247,5.2773,5.6923,5.4553,6.3757,6.1758
80,3.9131,4.5732,5.3467,5.7244,4.574,4.2127,6.1737,5.6535,4.7217,6.2704,5.0735,3.8381,5.1285,4.9057,5.2362,5.3244,6.0752,6.4429,6.2003,5.3242,6.1134,5.7907,4.7968,5.3852,5.0771,6.0096,5.6617
100,3.3383,4.1511,4.9541,5.3578,4.0214,3.6945,5.8715,5.3044,4.2679,5.9679,4.7144,3.2359,4.665,4.4192,4.6359,4.8353,5.7308,6.1443,5.8329,4.8393,5.7952,5.367,4.3256,5.0837,4.7272,5.654,5.1705
120,2.826,3.7469,4.5796,4.9967,3.5218,3.2157,5.5741,4.9637,3.8496,5.6722,4.3633,2.72,4.2316,3.9517,4.0597,4.3736,5.395,5.8527,5.476,4.3736,5.4817,4.9533,3.8738,4.787,4.4059,5.3078,4.7041
140,2.4278,3.3723,4.2208,4.6393,3.1033,2.7931,5.2814,4.6319,3.4793,5.3818,4.0209,2.3259,3.8264,3.5196,3.5255,3.947,5.0684,5.5656,5.1321,3.9291,5.1729,4.5504,3.4537,4.495,4.1054,4.971,4.2656
160,2.0978,3.0287,3.8834,4.2854,2.7586,2.4522,4.9921,4.3087,3.1637,5.0956,3.6927,1.9849,3.4504,3.1334,3.0622,3.5654,4.7525,5.2829,4.8027,3.5121,4.8664,4.158,3.0732,4.2079,3.8217,4.6446,3.8667
180,1.8023,2.7202,3.5679,3.9375,2.4635,2.1632,4.7066,3.9945,2.8868,4.8135,3.3823,1.6683,3.1187,2.804,2.7032,3.24,4.4489,5.0069,4.4894,3.1327,4.5629,3.7811,2.7454,3.9254,3.5538,4.3296,3.5272
