0,6.6573,6.5012,7.1534,7.323,7.3018,6.6079,7.5034,7.2082,6.9321,7.616,6.6675,6.7712,7.3026,7.0939,7.8662,7.4808,7.6211,7.7782,7.87,7.4994,7.5089,7.6546,6.848,6.7216,6.7944,7.597,7.8997
20,6.5614,6.4211,7.078,7.2664,7.2074,6.5172,7.453,7.1493,6.8407,7.565,6.5983,6.6685,7.2201,7.0108,7.7855,7.3983,7.5618,7.7225,7.8113,7.4245,7.4576,7.5888,6.7675,6.6678,6.7112,7.5397,7.8157
40,6.4811,6.3513,7.0121,7.215,7.1298,6.4405,7.4076,7.0991,6.7622,7.5196,6.5366,6.578,7.1525,6.9385,7.7133,7.3239,7.5093,7.6737,7.7619,7.3608,7.4106,7.5299,6.6943,6.6207,6.6387,7.491,7.7419
60,6.41,6.2874,6.9531,7.1677,7.0612,6.3713,7.3662,7.0538,6.6909,7.4781,6.4799,6.495,7.0935,6.8732,7.6486,7.2559,7.4618,7.6299,7.7174,7.3035,7.3668,7.4766,6.6264,6.5771,6.5727,7.4473,7.6745
80,6.3435,6.2281,6.8973,7.1229,6.9977,6.3069,7.3271,7.011,6.6238,7.4392,6.4262,6.4172,7.0386,6.8128,7.5889,7.1916,7.4185,7.5881,7.677,7.2504,7.3258,7.427,6.5624,6.5357,6.5097,7.4072,7.6114
100,6.2791,6.1715,6.8437,7.0803,6.9377,6.2453,7.2897,6.9703,6.5605,7.4017,6.3747,6.3427,6.986,6.7555,7.5328,7.1301,7.3772,7.5481,7.6378,7.1997,7.2864,7.3802,6.5011,6.4956,6.4498,7.3696,7.5518
120,6.2161,6.1166,6.7918,7.0391,6.8789,6.1847,7.254,6.9313,6.4983,7.3649,6.3251,6.2706,6.9326,6.6999,7.4794,7.0709,7.3368,7.5095,7.6008,7.1516,7.2482,7.3357,6.442,6.457,6.3915,7.3335,7.4947
140,6.1556,6.0622,6.742,6.9993,6.8217,6.1256,7.2194,6.8926,6.4352,7.3287,6.2769,6.201,6.8799,6.6455,7.4275,7.0134,7.2964,7.472,7.5647,7.105,7.2114,7.2926,6.3842,6.4195,6.3335,7.2987,7.4395
160,6.0972,6.0093,6.6941,6.9604,6.7655,6.0682,7.1852,6.8535,6.3734,7.2933,6.2303,6.133,6.8292,6.5926,7.3771,6.957,7.2565,7.4348,7.5286,7.0592,7.1755,7.2506,6.3278,6.3821,6.274,7.2655,7.3858
180,6.0401,5.9583,6.6467,6.9225,6.7107,6.0116,7.1512,6.8149,6.3121,7.2592,6.1845,6.066,6.7798,6.5414,7.3283,6.9019,7.2176,7.398,7.4927,7.0134,7.1404,7.2099,6.2725,6.3458,6.2154,7.2331,7.3331
200,5.9835,5.9073,6.5996,6.8855,6.657,5.9561,7.118,6.7778,6.2517,7.2264,6.1393,6.0005,6.7315,6.4908,7.2799,6.847,7.1798,7.3623,7.4578,6.968,7.1061,7.1698,6.2182,6.31,6.1587,7.2005,7.2812
220,5.928,5.8558,6.5526,6.8494,6.6043,5.9016,7.0854,6.7424,6.1926,7.1947,6.0946,5.9364,6.6833,6.4407,7.2324,6.7929,7.1428,7.3274,7.4233,6.9234,7.0725,7.1305,6.1648,6.275,6.1034,7.168,7.23
240,5.8728,5.8048,6.5064,6.8135,6.5517,5.848,7.0538,6.7076,6.1345,7.1634,6.0499,5.8742,6.6358,6.391,7.1854,6.7391,7.1057,7.2926,7.3901,6.8799,7.0394,7.0913,6.1115,6.2409,6.0477,7.1359,7.1794
260,5.8178,5.754,6.4589,6.778,6.4989,5.7945,7.0227,6.6731,6.0765,7.1323,6.0055,5.814,6.5875,6.3415,7.1391,6.6854,7.0676,7.2588,7.357,6.837,7.0065,7.0521,6.0587,6.2075,5.9912,7.1043,7.1289
280,5.7635,5.7042,6.4103,6.7429,6.447,5.7411,6.9918,6.6384,6.0179,7.102,5.9617,5.7555,6.5388,6.2921,7.0932,6.632,7.03,7.2252,7.324,6.795,6.974,7.0132,6.0063,6.1742,5.9352,7.0726,7.0783
300,5.7091,5.6556,6.363,6.7081,6.3955,5.6876,6.9612,6.6037,5.9583,7.0721,5.9184,5.6985,6.4912,6.2427,7.0475,6.5788,6.9936,7.1915,7.2907,6.7535,6.9418,6.9746,5.9539,6.141,5.8788,7.0408,7.0279
