0,6.6573,6.5012,7.1534,7.323,7.3018,6.6079,7.5034,7.2082,6.9321,7.616,6.6675,6.7712,7.3026,7.0939,7.8662,7.4808,7.6211,7.7782,7.87,7.4994,7.5089,7.6546,6.848,6.7216,6.7944,7.597,7.8997
20,6.4899,6.3671,7.0267,7.2233,7.136,6.4533,7.4159,7.1063,6.7797,7.5276,6.5532,6.5958,7.1619,6.9538,7.7235,7.3428,7.5188,7.6847,7.767,7.3691,7.4193,7.5407,6.7117,6.6293,6.6598,7.4975,7.758
40,6.3494,6.2507,6.9166,7.1326,6.9999,6.322,7.3373,7.0182,6.6495,7.4491,6.4513,6.44,7.0451,6.8319,7.5953,7.2185,7.4287,7.6026,7.6805,7.2572,7.337,7.4391,6.5879,6.5475,6.5428,7.4123,7.6343
60,6.2236,6.1441,6.8171,7.049,6.8782,6.203,7.2647,6.9378,6.5312,7.3773,6.3569,6.2979,6.9407,6.7231,7.4807,7.1039,7.3469,7.5278,7.6027,7.1568,7.2609,7.3464,6.4726,6.4719,6.4364,7.3357,7.5219
80,6.1048,6.0436,6.7242,6.9699,6.7636,6.0914,7.1962,6.8623,6.4198,7.3097,6.2682,6.1641,6.8434,6.6212,7.3744,6.996,7.2703,7.4572,7.5301,7.0624,7.1889,7.26,6.3633,6.4003,6.3354,7.2653,7.4177
100,5.9909,5.9476,6.6354,6.8938,6.6532,5.9839,7.1304,6.7897,6.3121,7.2442,6.1832,6.0358,6.7494,6.5236,7.2731,6.893,7.1968,7.3886,7.4617,6.9728,7.1194,7.178,6.2583,6.3309,6.2379,7.1984,7.3184
120,5.8795,5.8555,6.5487,6.8205,6.5467,5.8789,7.0667,6.7201,6.2072,7.1805,6.1004,5.9123,6.6564,6.4295,7.1758,6.7926,7.125,7.3228,7.3956,6.8858,7.0522,7.0991,6.1567,6.2635,6.1432,7.1341,7.2224
140,5.7715,5.7655,6.4642,6.7493,6.4439,5.777,7.0047,6.6517,6.1021,7.1186,6.0195,5.7932,6.5637,6.3371,7.0818,6.6946,7.0553,7.2594,7.329,6.801,6.9868,7.0225,6.0574,6.1977,6.0506,7.0708,7.129
160,5.6672,5.6764,6.3806,6.68,6.3428,5.6769,6.9442,6.5841,5.9969,7.0582,5.9405,5.6786,6.4739,6.2471,6.9898,6.5981,6.9865,7.1965,7.2627,6.7178,6.9232,6.948,5.9599,6.1331,5.9577,7.008,7.0375
180,5.5648,5.5876,6.2978,6.6123,6.2422,5.5781,6.8845,6.5161,5.8936,6.9989,5.863,5.5679,6.3857,6.1586,6.8996,6.5023,6.9188,7.1342,7.1972,6.6362,6.8609,6.8745,5.8639,6.0698,5.8629,6.9462,6.9468
